Variable,Main effect p-value,Main effect adjusted p-value,Interaction effect p-value,Interaction effect adjusted p-value,Main effect model - b0 (Intercept term coefficient),Main effect model - b1 (Helminth term coefficient),Main effect model - b2 (Diabetes term coefficient),Relative % of explained variance (Helminth term),Relative % of explained variance (Diabetes term),Relative % of explained variance (Helminth:Diabetes interaction term),Fraction of  variance unexplained by the three terms,Interaction effect model - c0 (Intercept term coefficient),Interaction effect model - c1 (Helminth term coefficient),Interaction effect model - c2 (Diabetes term coefficient),Interaction effect model - c3 (Helminth:Diabetes interaction term coefficient)
Adipsin (pg/ml),0.000136056,0.00020643,0.012380705,0.049522819,12759.89488,4665.982316,30158.59114,0.859132678,74.10133512,25.0395322,68.8955082,10899.37836,-5594.462183,52377.65649,35665.49033
Basophils (%),0.025368872,0.034882199,0.465687076,0.551925424,1.356948778,0.033404363,-0.30764255,13.85141829,79.46849181,6.6800899,70.69174002,1.347482866,-0.018798594,-0.194596676,0.181458423
Eosinophils (%),7.78E-10,1.63E-09,0.313008615,0.459017902,8.197112659,0.354075711,-4.262296764,12.77253702,85.07221041,2.155252568,73.22869175,8.269110804,0.751133708,-5.122128675,-1.380180769
G-CSF (pg/ml),1.51E-14,4.76E-14,0.118536451,0.223127438,100.2545782,-38.08669987,83.43648821,39.31629002,57.50601078,3.177699203,60.80306522,98.1730697,-49.56587879,108.2947316,39.9018332
Glucagon (pg/ml),5.23E-13,1.21E-12,5.41E-05,0.000538495,83.14018951,-34.71140155,77.19152562,32.28415322,48.14729802,19.56854876,56.75607587,77.91760633,-63.51309414,139.5617952,100.1152034
HbA1c (%),3.43E-45,7.55E-44,8.41E-05,0.000538495,5.545872854,0.288710342,4.000023656,3.858334295,91.9928655,4.148800209,55.78177378,5.636023562,0.785876758,2.923406256,-1.728159437
IFNg (pg/ml),7.16E-15,2.42E-14,0.025700105,0.082240337,356.1937987,-33.80348043,155.2511901,21.56260381,72.34768047,6.089715718,54.97862094,351.4136266,-60.16534829,212.338002,91.63432862
IgG,3.23E-37,2.37E-36,3.83E-06,6.12E-05,-6.588752515,149.9578688,47.18356553,85.46499711,7.180429176,7.354573719,36.40010465,-1.520984813,177.9057793,-13.337833,-97.14744163
IL-10 (pg/ml),3.30E-07,5.58E-07,0.085141594,0.201741867,364.4220566,17.30718577,213.4177819,3.330265545,88.21064097,8.459093483,71.20269677,357.4082398,-21.37286738,297.1797114,134.4525631
IL-12 (pg/ml),0.000149625,0.000219451,0.383494278,0.496377486,102.7978584,-6.375185275,22.03408252,27.29057318,68.71980291,3.98962391,71.97486219,103.3612916,-3.267943587,15.30532861,-10.80082821
