"A","B","C","D","E","S_x","S_y"
640.980204575298,398.240627719836,288.084162713525,48,8.12772232932217,"1","0"
825.864310843662,434.298181217581,191.117393290026,37,6.56131555471586,"1","0"
660.321266684226,974.400508141082,252.819357560886,35,8.83832903614902,"1","0"
609.571598545701,506.142591285747,241.171574211946,28,9.50454354529453,"1","0"
534.90148899222,748.196795864259,178.606644163623,28,6.77219550102753,"1","0"
698.307227128754,363.576447551029,588.1466464028,52,9.31814354740338,"1","0"
528.583338841377,528.555804309411,242.21851587381,35,7.81450251246676,"1","0"
732.602917517897,418.047101807413,219.656737537298,60,6.63041480809977,"1","0"
527.899412432874,249.345930203209,625.489898198924,63,10.3204741876479,"1","0"
524.948091059549,659.248831178415,386.687577799426,29,6.99864871455432,"1","0"
534.586934966953,755.113711687683,196.455721279189,44,6.73780705983518,"1","0"
435.454997868859,782.414458912607,273.395579378542,59,5.49626147164043,"1","0"
420.866931717734,686.897071912342,177.484118064512,56,4.94311126715694,"1","0"
670.114226800867,922.480207119811,267.25753141557,29,8.26978444294428,"1","0"
816.329326854959,725.103356757323,154.730151804345,22,10.0226576176876,"1","0"
545.582795031686,531.087031551272,154.375597915851,38,7.98865122738407,"1","0"
524.029691173316,326.749139835188,136.725358348567,61,5.87132136809451,"1","0"
595.41888604883,417.527888506427,255.10732243171,51,3.49817561642929,"1","0"
383.167291837567,199.748195071109,370.084909055066,29,8.6898720613712,"1","0"
621.95151434009,646.394040650261,338.067839084959,28,8.73442044415461,"1","0"
502.055469251428,453.019250998242,176.34147759902,40,6.56944019667879,"1","0"
461.709835335912,768.989894962659,318.222564104527,45,5.80649302706912,"1","0"
463.525694004897,846.078595307804,345.650411402021,38,4.36211730407524,"1","0"
572.811332339449,624.699638305154,439.257305886658,28,7.61953360801981,"1","0"
502.959413672617,762.512313127466,213.82243278377,45,7.10733285797942,"1","0"
595.237032171585,833.877826190672,331.666124743647,38,4.20475025610792,"1","0"
653.847370267166,936.357625339409,247.783375820624,55,7.04488729400303,"1","0"
501.216112787084,776.040582758577,223.607653860107,54,8.24954180789419,"1","0"
506.43415864428,350.32026281363,309.894061461905,43,7.64183812214146,"1","0"
931.98384257434,292.627624907765,203.380436220104,45,6.03480493687872,"1","0"
572.609713703489,451.13425502729,275.678786632614,34,6.48530256076545,"1","0"
486.045954786236,198.195598389135,233.837610056923,58,5.91641608017279,"1","0"
273.358112774558,292.068931631813,638.924766224199,52,7.20854365787768,"1","0"
541.271023904033,552.633120289569,879.109124280091,50,10.7577911662103,"1","0"
505.421962226101,476.19561272468,302.216845068819,40,7.11033255072976,"1","0"
132.27345015515,563.866464609135,50.6910815201813,60,4.92636358966531,"1","0"
415.451317776761,941.961257433879,465.889537765982,58,8.18500845349602,"1","0"
735.363731216494,153.939670987,525.701595413822,64,6.59351614334019,"1","0"
119.581407825743,132.741211420562,313.855932597806,60,4.60479131215675,"1","0"
371.522246798437,139.753316137394,155.933042857233,38,7.94639741350597,"1","0"
356.598220485433,641.424356358158,367.524776765497,28,14.4010939876805,"1","0"
366.843608374813,829.496133976885,65.6656387434736,24,6.07920334020833,"1","0"
421.228548547101,514.524759141359,359.955858641169,29,4.09366260217317,"1","0"
209.478503437732,418.920635590761,268.451027735428,38,9.54517140347035,"1","0"
635.451609192808,349.999862216886,239.566765313547,28,6.73201218566381,"1","0"
215.072281862302,329.710958999464,611.44957709513,47,6.2220252290476,"1","0"
161.839887961908,2843.25741378805,546.053095659511,37,6.20490897842601,"1","0"
117.181481570299,958.1786396479,284.925856710807,55,3.12528287496739,"1","0"
101.623227074567,135.331157945632,525.237083414491,52,7.06511733499008,"1","0"
183.175761097912,655.218889604122,610.8799600245,43,7.88570012066053,"1","0"
